"","ID","interview_date","sex","age","migration_duration","return_country","origin_country","1_economic","2_food","3_borrow","4_borrow_freq","5_debt_ratio","6_employment","7_working","8_assets","9_searching_job","10_housing","11_housing_qual","12_education","13_school","14_justice","15_id","16_documentation","17_water","18_health","19_health_qual","21_socialize","22_network","23_community","24_safety","25_family_conflict","26_discrimination","27_distress","28_psy_support","29_able_to_stay","30_wish_vs_need_leave","1_economic_n","2_food_n","3_borrow_n","4_borrow_freq_n","5_debt_ratio_n","6_employment_n","7_working_n","8_assets_n","9_searching_job_n","10_housing_n","11_housing_qual_n","12_education_n","13_school_n","14_justice_n","15_id_n","16_documentation_n","17_water_n","18_health_n","19_health_qual_n","20_services_construct_n","21_socialize_n","22_network_n","23_community_n","24_safety_n","25_family_conflict_n","26_discrimination_n","27_distress_n","28_psy_support_n","29_able_to_stay_n","30_wish_vs_need_leave_n","29_30_remigration_construct","1_economic_dim_weight","1_economic_comp_weight","2_food_dim_weight","2_food_comp_weight","3_borrow_dim_weight","3_borrow_comp_weight","4_borrow_freq_dim_weight","4_borrow_freq_comp_weight","5_debt_ratio_dim_weight","5_debt_ratio_comp_weight","6_employment_dim_weight","6_employment_comp_weight","7_working_dim_weight","7_working_comp_weight","8_assets_dim_weight","8_assets_comp_weight","9_searching_job_dim_weight","9_searching_job_comp_weight","10_housing_dim_weight","10_housing_comp_weight","11_housing_qual_dim_weight","11_housing_qual_comp_weight","12_education_dim_weight","12_education_comp_weight","13_school_dim_weight","13_school_comp_weight","14_justice_dim_weight","14_justice_comp_weight","15_id_dim_weight","15_id_comp_weight","16_documentation_dim_weight","16_documentation_comp_weight","17_water_dim_weight","17_water_comp_weight","18_health_dim_weight","18_health_comp_weight","19_health_qual_dim_weight","19_health_qual_comp_weight","20_services_construct_dim_weight","20_services_construct_comp_weight","21_socialize_dim_weight","21_socialize_comp_weight","22_network_dim_weight","22_network_comp_weight","23_community_dim_weight","23_community_comp_weight","24_safety_dim_weight","24_safety_comp_weight","25_family_conflict_dim_weight","25_family_conflict_comp_weight","26_discrimination_dim_weight","26_discrimination_comp_weight","27_distress_dim_weight","27_distress_comp_weight","28_psy_support_dim_weight","28_psy_support_comp_weight","29_30_remigration_construct_dim_weight","29_30_remigration_construct_comp_weight","1_economic_dim_score","1_economic_comp_score","2_food_dim_score","2_food_comp_score","3_borrow_dim_score","3_borrow_comp_score","4_borrow_freq_dim_score","4_borrow_freq_comp_score","5_debt_ratio_dim_score","5_debt_ratio_comp_score","6_employment_dim_score","6_employment_comp_score","7_working_dim_score","7_working_comp_score","8_assets_dim_score","8_assets_comp_score","9_searching_job_dim_score","9_searching_job_comp_score","10_housing_dim_score","10_housing_comp_score","11_housing_qual_dim_score","11_housing_qual_comp_score","12_education_dim_score","12_education_comp_score","13_school_dim_score","13_school_comp_score","14_justice_dim_score","14_justice_comp_score","15_id_dim_score","15_id_comp_score","16_documentation_dim_score","16_documentation_comp_score","17_water_dim_score","17_water_comp_score","18_health_dim_score","18_health_comp_score","19_health_qual_dim_score","19_health_qual_comp_score","20_services_construct_dim_score","20_services_construct_comp_score","21_socialize_dim_score","21_socialize_comp_score","22_network_dim_score","22_network_comp_score","23_community_dim_score","23_community_comp_score","24_safety_dim_score","24_safety_comp_score","25_family_conflict_dim_score","25_family_conflict_comp_score","26_discrimination_dim_score","26_discrimination_comp_score","27_distress_dim_score","27_distress_comp_score","28_psy_support_dim_score","28_psy_support_comp_score","29_30_remigration_construct_dim_score","29_30_remigration_construct_comp_score","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore"
"1","ML 1021002350","2022-10-15","Femme","32","0","Mali","Cameroun","Très insatisafait","Des fois ( 2 ou 3 fois le mois)","Non","Rarement( Une fois le mois ou pas tous les mois)","La dette est plus grande","Faible","Non","Aucun actif détenu","Oui","Acceptable","Acceptable","Bien","Oui","Bien","Oui","Très faible","Très faible","Faible","Faible","Rarement( Une fois le mois ou pas tous les mois)","Mauvais","je suis un peu d'accord","Je me sens en sécurité la plupart du temps","Des fois ( 2 ou 3 fois le mois)","Jamais discriminé","Souvent( au moins une fois la semaine)","Non","Non","BESOIN DE PARTIR - Par exemple, le manque d’emplois; le manque de sécurité; faibles revenus; le manque de services essentiels; la pression familiale; etc.",0,0.5,0,0.75,0,0.25,0,0,0,0.5,0.5,0.75,1,0.75,1,0,0,0.25,0.25,0.375,0.25,0.25,0.75,0.75,0.5,1,0.25,1,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0,0,0.06,0.04,0,0,0.075,0.015,0,0,0.0325,0.0075,0,0,0,0,0,0,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.05,0.015,0.0375,0.0075,0.03,0.015,0.03,0.01,0.0125,0.0075,0.1125,0.03,0.075,0.0375,0.06,0.005,0.11,0,0.025,0.01,0.1,0.03,0,0,0.1675,0.52,0.525,0.3825
"2","ML1021002243","2022-10-17","Femme","33","0","Mali","Cameroun","Satisafait","Jamais","Oui","Rarement( Une fois le mois ou pas tous les mois)",NA,"Bien","Oui","Équipement et outils Actifs reçus de l'OIM","Je ne sait pas","Bien","Acceptable","Bien",NA,"Bien","Oui","Faible","Faible","Acceptable","Bien","Jamais","Bien","je suis un peu d'accord","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Oui","Oui",NA,0.75,1,1,0.75,0.5,0.75,1,1,0.5,0.75,0.5,0.75,0.5,0.75,1,0.25,0.25,0.5,0.75,0.541666666666667,0,0.75,0.75,0.75,1,1,0.75,0,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.12,0.08,0.08,0.02,0.075,0.015,0.04,0.02,0.0975,0.0225,0.1,0.03,0.11,0.03,0.065,0.015,0.075,0.0225,0.06,0.015,0.0825,0.0225,0.035,0.01,0.09,0.03,0.05,0.05,0,0,0,0,0.1,0.03,0.1125,0.0225,0.0433333333333333,0.0216666666666667,0,0,0.0375,0.0225,0.1125,0.03,0.075,0.0375,0.12,0.01,0.11,0,0.075,0.03,0,0,0.15,0.1,0.8,0.648333333333333,0.68,0.724166666666667
"3","NE1022X004425","2022-10-17","Homme","38","0","Algérie","Cameroun","Neutre","Des fois ( 2 ou 3 fois le mois)","Non","Jamais",NA,"Acceptable","Oui","Terre","Non","Acceptable","Acceptable","Je ne sais pas",NA,"Acceptable","Oui","Très bien","Acceptable","Acceptable","Bien","Rarement( Une fois le mois ou pas tous les mois)","Mauvais","je suis un peu d'accord","Je me sens en sécurité la plupart du temps","Souvent( au moins une fois la semaine)","Parfois discriminé(C'est arrrivé plusieurs fois)","Rarement( Une fois le mois ou pas tous les mois)","Oui","Oui",NA,0.5,0.5,0,1,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.75,0.583333333333333,0.25,0.25,0.75,0.75,0.25,0.5,0.75,0,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.075,0.025,0.06,0.04,0,0,0.1,0.02,0.04,0.02,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0.06,0.015,0.055,0.015,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.1125,0.0225,0.0466666666666667,0.0233333333333333,0.03,0.01,0.0125,0.0075,0.1125,0.03,0.075,0.0375,0.03,0.0025,0.055,0,0.075,0.03,0,0,0.15,0.1,0.68,0.569166666666667,0.54,0.628333333333333
"4","AU1022001355","2022-10-17","Homme","37","0","Inde","Cameroun","Satisafait","Des fois ( 2 ou 3 fois le mois)","Non","Jamais",NA,"Bien","Oui","Terre","Non","Bien","Très bien","Très bien","Oui","Acceptable","Oui","Très bien","Acceptable","Bien","Acceptable","Rarement( Une fois le mois ou pas tous les mois)","Bien","je suis un peu d'accord","Je me sens en sécurité la plupart du temps","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Jamais discriminé","Jamais","Oui","Oui",NA,0.75,0.5,0,1,0.5,0.75,1,1,1,0.75,1,1,1,0.5,1,1,0.5,0.75,0.5,0.75,0.25,0.75,0.75,0.75,0,1,1,0,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.06,0.04,0,0,0.1,0.02,0.04,0.02,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.0225,0.12,0.03,0.11,0.03,0.07,0.02,0.06,0.02,0.05,0.05,0,0,0,0,0.15,0.045,0.075,0.015,0.06,0.03,0.03,0.01,0.0375,0.0225,0.1125,0.03,0.075,0.0375,0,0,0.11,0,0.1,0.04,0,0,0.15,0.1,0.75,0.77,0.615,0.7325
"5","NE1021X051710","2022-10-17","Homme","25","11","Niger","Tchad","Satisafait","Jamais","Oui","Rarement( Une fois le mois ou pas tous les mois)",NA,"Faible","Non","Terre","Non","Bien","Bien","Bien","Oui","Faible","Oui","Acceptable","Acceptable","Faible","Acceptable","Souvent( au moins une fois la semaine)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en sécurité tout le temps","Jamais","Jamais discriminé","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Je ne sait pas","BESOIN DE PARTIR - Par exemple, le manque d’emplois; le manque de sécurité; faibles revenus; le manque de services essentiels; la pression familiale; etc.",0.75,1,1,0.75,0.5,0.25,0,1,1,0.75,0.75,0.75,1,0.25,1,0.5,0.5,0.25,0.5,0.5,0.75,0.75,1,1,1,1,0,1,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.12,0.08,0.08,0.02,0.075,0.015,0.04,0.02,0.0325,0.0075,0,0,0.11,0.03,0.13,0.03,0.075,0.0225,0.09,0.0225,0.0825,0.0225,0.07,0.02,0.03,0.01,0.05,0.05,0,0,0,0,0.05,0.015,0.075,0.015,0.04,0.02,0.09,0.03,0.0375,0.0225,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0,0,0.1,0.03,0,0,0.7,0.5625,0.7075,0.62
"6","NE1022001107","2022-10-17","Femme","22","2","Algérie","Cameroun","Satisafait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Oui","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Les dépenses sont plus importantes","Bien","Non","Aucun actif détenu","Oui","Faible","Faible","Bien","Oui","Je ne sais pas","Oui","Faible","Faible","Faible","Faible","Rarement( Une fois le mois ou pas tous les mois)","Mauvais","je suis un peu d'accord","Je ne me sens pas en sécurité la plupart du temps","Des fois ( 2 ou 3 fois le mois)","Très souvent discriminé(Chaque semaine / Chaque jour)","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Oui","Oui",NA,0.75,0,1,0,1,0.75,0,0,0,0.25,0.25,0.75,1,0.5,1,0.25,0.25,0.25,0.25,0.375,0.25,0.25,0.75,0.25,0.5,0.25,0,0,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0,0,0.08,0.02,0,0,0.08,0.04,0.0975,0.0225,0,0,0,0,0,0,0.025,0.0075,0.03,0.0075,0.0825,0.0225,0.07,0.02,0.06,0.02,0.05,0.05,0,0,0,0,0.05,0.015,0.0375,0.0075,0.03,0.015,0.03,0.01,0.0125,0.0075,0.1125,0.03,0.025,0.0125,0.06,0.005,0.0275,0,0,0,0,0,0.15,0.1,0.37,0.435,0.4175,0.45
"7","ML1022001119","2022-10-17","Femme","26","0","Mali","Cameroun","Neutre","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Oui","Jamais",NA,"Faible","Oui","Actifs reçus de l'OIM","Oui","Acceptable","Faible","Acceptable","Oui","Très faible","Oui","Très faible","Bien","Acceptable","Acceptable","Des fois ( 2 ou 3 fois le mois)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en sécurité tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Parfois discriminé(C'est arrrivé plusieurs fois)","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Non","BESOIN DE PARTIR - Par exemple, le manque d’emplois; le manque de sécurité; faibles revenus; le manque de services essentiels; la pression familiale; etc.",0.5,0,1,1,0.5,0.25,1,1,0,0.5,0.25,0.5,1,0,1,0,0.75,0.5,0.5,0.375,0.5,0.5,1,1,0.75,0.5,0,1,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.075,0.025,0,0,0.08,0.02,0.1,0.02,0.04,0.02,0.0325,0.0075,0.1,0.03,0.11,0.03,0,0,0.05,0.015,0.03,0.0075,0.055,0.015,0.07,0.02,0,0,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.03,0.015,0.06,0.02,0.025,0.015,0.15,0.04,0.1,0.05,0.09,0.0075,0.055,0,0,0,0.1,0.03,0,0,0.5375,0.46,0.58,0.4825
"8","NE1021X051711","2022-10-17","Homme","22","2","Niger","Tchad","Satisafait","Jamais","Oui","Jamais","Je souhaite ne pas répondre","Acceptable","Non","Aucun actif détenu","Oui","Bien","Acceptable","Acceptable","Oui","Acceptable","Oui","Acceptable","Acceptable","Acceptable","Acceptable","Des fois ( 2 ou 3 fois le mois)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en sécurité tout le temps","Jamais","Jamais discriminé","Souvent( au moins une fois la semaine)","Non","Oui",NA,0.75,1,1,1,0.5,0.5,0,0,0,0.75,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.541666666666667,0.5,0.75,1,1,1,1,0.25,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.12,0.08,0.08,0.02,0.1,0.02,0.04,0.02,0.065,0.015,0,0,0,0,0,0,0.075,0.0225,0.06,0.015,0.055,0.015,0.07,0.02,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.0433333333333333,0.0216666666666667,0.06,0.02,0.0375,0.0225,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.025,0.01,0.1,0.03,0.15,0.1,0.5175,0.588333333333333,0.8525,0.684166666666667
"9","SD1018001251","2022-10-17","Homme","27","3","Maroc","Cameroun","Insatisfait","Rarement( Une fois le mois ou pas tous les mois)","Non","Rarement( Une fois le mois ou pas tous les mois)","La dette est plus grande","Acceptable","Oui","Aucun actif détenu","Oui","Acceptable","Acceptable","Acceptable",NA,"Acceptable","Oui","Acceptable","Acceptable","Acceptable","Acceptable","Souvent( au moins une fois la semaine)","Je ne sais pas","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en sécurité tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Rarement discriminé( C'est arrivé une fois)","Rarement( Une fois le mois ou pas tous les mois)","Non","Oui",NA,0.25,0.75,0,0.75,0,0.5,1,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,1,1,0.75,0.75,0.75,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.0375,0.0125,0.09,0.06,0,0,0.075,0.015,0,0,0.065,0.015,0.1,0.03,0,0,0,0,0.05,0.015,0.06,0.015,0.055,0.015,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.04,0.02,0.09,0.03,0.025,0.015,0.15,0.04,0.1,0.05,0.09,0.0075,0.0825,0,0.075,0.03,0.1,0.03,0.15,0.1,0.3675,0.525,0.8625,0.625
"10","NE1022X001122","2022-10-17","Homme","30","2","Algérie","Cameroun","Très satisfait","Rarement( Une fois le mois ou pas tous les mois)","Non","Jamais","La dette est plus grande","Faible","Oui","Actifs reçus de l'OIM","Oui","Bien","Acceptable","Bien",NA,"Bien","Oui","Très faible","Bien","Bien","Acceptable","Rarement( Une fois le mois ou pas tous les mois)","Mauvais","je suis un peu d'accord","Je me sens en sécurité la plupart du temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Souvent( au moins une fois la semaine)","Oui","Oui",NA,1,0.75,0,1,0,0.25,1,1,0,0.75,0.5,0.75,0.5,0.75,1,0,0.75,0.75,0.5,0.625,0.25,0.25,0.75,0.75,0.75,1,0.25,0,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.15,0.05,0.09,0.06,0,0,0.1,0.02,0,0,0.0325,0.0075,0.1,0.03,0.11,0.03,0,0,0.075,0.0225,0.06,0.015,0.0825,0.0225,0.035,0.01,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.075,0.015,0.05,0.025,0.03,0.01,0.0125,0.0075,0.1125,0.03,0.075,0.0375,0.09,0.0075,0.11,0,0.025,0.01,0,0,0.15,0.1,0.5825,0.6675,0.605,0.635
