"","Code Mimosa Corrigé","Economic reintegration Score","1_economic","2_food","3_borrow","4_borrow_freq","5_debt_ratio","6_employment","7_working","8_assets","9_searching_job","1_economic_n","2_food_n","3_borrow_n","4_borrow_freq_n","5_debt_ratio_n","6_employment_n","7_working_n","8_assets_n","9_searching_job_n","1_economic_dim_weight","1_economic_comp_weight","2_food_dim_weight","2_food_comp_weight","3_borrow_dim_weight","3_borrow_comp_weight","4_borrow_freq_dim_weight","4_borrow_freq_comp_weight","5_debt_ratio_dim_weight","5_debt_ratio_comp_weight","6_employment_dim_weight","6_employment_comp_weight","7_working_dim_weight","7_working_comp_weight","8_assets_dim_weight","8_assets_comp_weight","9_searching_job_dim_weight","9_searching_job_comp_weight","1_economic_dim_score","1_economic_comp_score","2_food_dim_score","2_food_comp_score","3_borrow_dim_score","3_borrow_comp_score","4_borrow_freq_dim_score","4_borrow_freq_comp_score","5_debt_ratio_dim_score","5_debt_ratio_comp_score","6_employment_dim_score","6_employment_comp_score","7_working_dim_score","7_working_comp_score","8_assets_dim_score","8_assets_comp_score","9_searching_job_dim_score","9_searching_job_comp_score","EconomicScore","Difference"
"1","NE1022X001430",0.3925,"Neutre","Rarement( Une fois le mois ou pas tous les mois)","Non","Jamais",NA,"Acceptable","Oui","Actifs reçus de l'OIM","Non",0.5,0.75,0,1,0.5,0.5,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.09,0.06,0,0,0.1,0.02,0.04,0.02,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.71,0.3175
"2","CH1022X000306",0.4925,"Neutre","Des fois ( 2 ou 3 fois le mois)","Non","Jamais","Les dépenses sont plus importantes","Très faible","Oui","Aucun actif détenu","Oui",0.5,0.5,0,1,1,0,1,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.06,0.04,0,0,0.1,0.02,0.08,0.04,0,0,0.1,0.03,0,0,0,0,0.415,-0.0775
"3","CH1022X000640",0.675,"Neutre","Jamais","Non","Jamais",NA,"Très faible","Oui","Actifs reçus de l'OIM","Non",0.5,1,0,1,0.5,0,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.12,0.08,0,0,0.1,0.02,0.04,0.02,0,0,0.1,0.03,0.11,0.03,0.13,0.03,0.675,1.11022302462516e-16
"4","CH1022X002597X1",0.7875,"Satisafait","Souvent( au moins une fois la semaine)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Terre Bétails Actifs reçus de l'OIM","Oui",0.75,0.25,1,0.5,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.6275,-0.16
"5","CH1022X003790X1",0.7875,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Non","Jamais","Les dépenses sont plus importantes","Acceptable","Oui","Actifs reçus de l'OIM","Non",0.75,0.75,0,1,1,0.5,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0,0,0.1,0.02,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.7875,0
"6","CH5021X013479",0.4175,"Très insatisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Des fois ( 2 ou 3 fois le mois)","La dette est plus grande","Très faible","Non","Aucun actif détenu","Oui",0,0.75,1,0.5,0,0,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0,0,0.09,0.06,0.08,0.02,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0.22,-0.1975
"7","DZ1021003428",0.5125,"Neutre","Jamais","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bâtiments et structures Équipement et outils","Non",0.5,1,1,0.75,1,0.5,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.12,0.08,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.835,0.3225
"8","DZ1021003429",0.5575,"Neutre","Jamais","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Terre Bétails Bâtiments et structures Actifs reçus de l'OIM","Non",0.5,1,1,0.75,1,0.5,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.12,0.08,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.835,0.2775
"9","DZ1021005671",0.505,"Neutre","Des fois ( 2 ou 3 fois le mois)","Non","Jamais",NA,"Très faible","Oui","Terre Bâtiments et structures Actifs reçus de l'OIM Autre (veuillez préciser)","Non",0.5,0.5,0,1,0.5,0,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.06,0.04,0,0,0.1,0.02,0.04,0.02,0,0,0.1,0.03,0.11,0.03,0.13,0.03,0.615,0.11
"10","DZ1021008059",0.2575,"Insatisfait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Aucun actif détenu","Non",0.25,0,0,0.75,1,0.5,0,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.0375,0.0125,0,0,0,0,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0,0,0.13,0.03,0.3875,0.13
"11","DZ10215A0C72D5185C",0.81,"Satisafait","Des fois ( 2 ou 3 fois le mois)","Non","Jamais","La dette est plus grande","Faible","Oui","Bétails Actifs reçus de l'OIM","Oui",0.75,0.5,0,1,0,0.25,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.06,0.04,0,0,0.1,0.02,0,0,0.0325,0.0075,0.1,0.03,0.11,0.03,0,0,0.515,-0.295
"12","GM1022001098",0.6575,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Arbres ( fruits","Oui",0.75,0.75,1,0.75,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.7125,0.0549999999999999
"13","GM1022001098",0.4275,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Arbres ( fruits","Oui",0.75,0.75,1,0.75,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.7125,0.285
"14","GM1022001108",0.3225,"Neutre","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Terre Arbres ( fruits","Non",0.5,0.75,1,0.75,1,0.5,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.805,0.4825
"15","GM1022001170",0.5375,"Très insatisafait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Faible","Non","Actifs reçus de l'OIM","Oui",0,0,1,0.5,1,0.25,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0,0,0,0,0.08,0.02,0.05,0.01,0.08,0.04,0.0325,0.0075,0,0,0.11,0.03,0,0,0.3525,-0.185
"16","GM1022001164",0.41,"Insatisfait","Souvent( au moins une fois la semaine)","Non","Jamais","La dette est plus grande","Faible","Oui","Actifs reçus de l'OIM","Oui",0.25,0.25,0,1,0,0.25,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.0375,0.0125,0.03,0.02,0,0,0.1,0.02,0,0,0.0325,0.0075,0.1,0.03,0.11,0.03,0,0,0.41,0
"17","LY1021004109",0.79,"Satisafait","Souvent( au moins une fois la semaine)","Oui","Souvent( au moins une fois la semaine)","Les dépenses sont plus importantes","Bien","Oui","Terre Actifs reçus de l'OIM","Non",0.75,0.25,1,0.25,1,0.75,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.025,0.005,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.765,-0.025
