"","Code Mimosa Corrigé","Difference"
"1","NE1022X001430",0.3175
"2","CH1022X000306",-0.0775
"3","CH1022X000640",1.11022302462516e-16
"4","CH1022X002597X1",-0.16
"5","CH5019X026317X1",-0.1325
"6","CH5019X026318X1",-0.3475
"7","CH5021X012283",0.1375
"8","CH5021x012283",-0.13
"9","CH5021X012296",0.1725
"10","CH5021X012298",-0.11
"11","CH5021X013479",-0.1975
"12","DZ1021003428",0.3225
"13","DZ1021003429",0.2775
"14","DZ1021005671",0.11
"15","DZ1021008059",0.13
"16","DZ10215A0C72D5185C",-0.295
"17","GM1022001098",0.0549999999999999
"18","GM1022001098",0.0549999999999999
"19","GM1022001098",0.285
"20","GM1022001108",0.4825
"21","GM1022001170",-0.185
"22","LY1021004171",0.0574999999999999
"23","LY1021004109",-0.025
"24","Ly1021004206",0.25
"25","LY1021004212",0.1225
"26","Ly1021004235",-0.0225
"27","Ly1021004279",0.0199999999999999
"28","Ly1021004279",0.00749999999999995
"29","LY1021004285",0.0475
"30","LY1021006649",0.1425
"31","LY1021008068",-0.45
"32","LY1021008084",-0.015
"33","LY1021008166",0.0775
"34","LY1021008253",0.025
"35","LY1021008619",0.00250000000000006
"36","LY1021008623",0.155
"37","Ly1021009108",0.0999999999999999
"38","LY1021009596",-0.1125
"39","LY1021009682",-0.1625
"40","LY1021010679",0.0275
"41","LY1022001225",-0.16
"42","LY1022001497",-0.285
"43","Ly1022001512",0.185
"44","LY1022002133",-0.29
"45","LY1022002147",-0.0975
"46","LY1022002233",-0.185
"47","LY1022002301",-0.45
"48","LY1022002520",-0.0325
"49","LY1022003542",0.0650000000000001
"50","LY1022003675",0.2075
"51","LY1022003747",0.0099999999999999
"52","LY1022003792",-0.1425
"53","LY1022003996",-0.03
"54","LY1022005127",0.005
"55","MA1021003470",0.3175
"56","Ma1021005091",0.3075
"57","MA1022001187",0.2175
"58","NE1021X051728",-0.0750000000000001
"59","NE1021X051730",0.0200000000000001
"60","NE1021X051842",-0.1675
"61","NE1022001129",0.035
"62","NE1022001316",0.08
"63","NE1022001316",0.0825
"64","NE1022001358",0.115
"65","NE1022001358",0.0650000000000001
"66","NE1022X000210",0.2725
"67","NE1022X000846",-0.0225000000000001
"68","NE1022X001122",0.195
"69","NE1022X001339",0.1625
"70","NE1022X002409",0.3425
"71","NE1022X002626",0.185
"72","NE1022X003003",0.1975
"73","NE1022X003621",0.0349999999999999
"74","NE1022X004345",0.1725
"75","TD1021001485",0.28
"76","TD1021001500",-0.0375000000000001
"77","TD1021001634",-0.135
"78","TD1021001634",-0.1925
"79","TN1021002873",-0.055
"80","TN1021003037",0.0325000000000001
"81","TN1021003043",-0.1825
"82","TN1021003440",-0.24
