"","Code Mimosa Corrigé","Difference"
"1","NE1022X001430",-0.0916666666666666
"2","CH1022X000306",0.035
"3","CH1022X000306",0.1775
"4","CH1022X000307",0.035
"5","CH1022X000328",0.035
"6","CH1022X000329",0.035
"7","CH1022X000337",0.035
"8","CH1022X000634",0.035
"9","CH1022X000635",0.0349999999999999
"10","CH1022X000640",-0.1425
"11","CH1022X001055",0.035
"12","CH1022X001452/EUTFGIN25201",0.035
"13","CH1022X001480",0.035
"14","CH1022X001811X1",0.035
"15","CH1022X001825X1",0.035
"16","CH1022X001829X1",0.035
"17","CH1022X001844X1",0.0349999999999999
"18","CH1022X001878X1",0.035
"19","CH1022X002046",0.035
"20","CH1022X002238X1",0.035
"21","CH1022X002258X1",0.035
"22","CH1022X002280X1",0.035
"23","CH1022X002292X1",0.035
"24","CH1022X002307X1",0.035
"25","CH1022X002333X1",0.035
"26","CH1022X002556X1",0.035
"27","CH1022X002558X1",0.035
"28","CH1022X002567X1",0.035
"29","CH1022X002580X1",0.035
"30","CH1022X002597X1",0.035
"31","CH1022X002597X1",0.065
"32","CH1022X002598X1",0.035
"33","CH1022X002608X1",0.0349999999999999
"34","CH1022X002683X1",0.035
"35","CH1022X002685X1",0.035
"36","CH1022X002732X10",0.035
"37","CH1022X002737X1",0.035
"38","CH1022X002744X1",0.035
"39","CH1022X002766X1",0.0349999999999999
"40","CH1022X002946X1",0.035
"41","CH1022X002986X1",0.035
"42","CH1022X002998X1",0.035
"43","CH1022X003006X1",0.035
"44","CH1022X003007X1",0.035
"45","CH1022X003041X1",0.0350000000000001
"46","CH1022X003113X1",0.035
"47","CH1022X003139X1",0.035
"48","CH1022X003200X1",0.035
"49","CH1022X003235X1",0.035
"50","CH1022X003789X1",0.035
"51","CH1022X003790X1",0.0350000000000001
"52","CH1022X003790X1",0.0350000000000001
"53","CH1022X003796X1",0.0349999999999999
"54","CH1022X003853X1",0.035
"55","CH1022X003864X1",0.035
"56","CH1022X004536X1",0.035
"57","CH1022X004572X1",0.035
"58","CH1022X004577X1",0.0350000000000001
"59","CH1022X004587X1",0.0349999999999999
"60","CH1022X004626X1",0.035
"61","CH1022X004632X1",0.035
"62","CH1022X004656X1",0.0349999999999999
"63","CH1022X008017X1",0.035
"64","CH1022X008056X1",0.035
"65","CH1022X008060X1",0.0349999999999999
"66","CH1022X008092X1",0.035
"67","CH1022X008097X1",0.035
"68","CH1022X008522X1",0.0349999999999999
"69","CH1022X008524X1",0.035
"70","CH1022X008534X1",0.035
"71","CH1022X008542X1",0.0349999999999999
"72","CH1022X008561X1",0.0349999999999999
"73","CH1022X008620X1",0.035
"74","CH1022X008650X1",0.035
"75","CH1022X008657X1",0.035
"76","CH1022X008834X1",0.035
"77","CH1022X008905X1",0.035
"78","CH1022X008924X1",0.035
"79","CH1022X008929X1",0.035
"80","CH1022X012000X1",0.035
"81","CH5019X026317X1",0.156666666666667
"82","CH5019X026318X1",0.1075
"83","CH5020X003145",0.0349999999999999
"84","CH5021X011437X1",0.035
"85","CH5021X011438X1",0.0349999999999999
"86","CH5021X011478X1",0.035
"87","CH5021X011688",0.035
"88","CH5021X011691",0.0349999999999999
"89","CH5021X011698",0.035
"90","CH5021X011764X1",0.035
"91","CH5021X011824X1",0.035
"92","CH5021X011846X1",0.035
"93","CH5021X011871",0.035
"94","CH5021X011873",0.035
"95","CH5021X011885",0.035
