"BusinessSuccess","InterviewType","Country","CountryOfReturn","Gender","AgeGroup","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","Count"
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Autre","Moi et d'autres","Oui","Autre","1","Oui","Oui",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Autre","Moi et d'autres","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Autre","Moi uniquement","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Oui","Autre","1","Non","Non",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Oui","Autre","1","Oui","Non",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Oui","Non","0","Non","Non",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","En nature","Elevage","Moi uniquement","Oui","Non","0","Non","Non",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Algerie","Masculin","14-35","Oui","En nature","Autre","Moi uniquement","Oui","Non","0","Oui","Oui",1
"High","Par téléphone","Autre","Autre","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Autre","1","Oui","Oui",1
"High","Par téléphone","Autre","Autre","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Autre","Autre","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui",1
"High","Par téléphone","Autre","Autre","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Féminin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Féminin","14-35","Oui","En espèces","Commerce","Moi uniquement","Oui","Autre","1","Oui","Oui",1
"High","Par téléphone","Autre","Lybie","Féminin","14-35","Oui","En nature","Autre","Moi uniquement","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Féminin","14-35","Oui","En nature","Autre","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En espèces","Transport","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En nature","Autre","Moi et d'autres","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En nature","Autre","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Oui","Non","0","Non","Non",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Autre","1","Oui","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Non","Non",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Lybie","Masculin","14-35","Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Maroc","Féminin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Maroc","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Autre","Maroc","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Maroc","Masculin","14-35","Non","Mixte","Commerce","Moi et d'autres","Non","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Maroc","Masculin","14-35","Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Niger","Féminin","36+","Oui","En nature","Autre","Moi uniquement","Oui","Non","0","Non","Non",1
"High","Par téléphone","Autre","Niger","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Autre","Niger","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Autre","Niger","Masculin","14-35","Non","En nature","Transport","Moi et d'autres","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Autre","Niger","Masculin","36+","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui",1
"High","Par téléphone","Burkina Faso","Algerie","Masculin","14-35","Non","En espèces","Elevage","Moi uniquement","Non","Non","0","Non","Non",1
"High","Par téléphone","Burkina Faso","Algerie","Masculin","14-35","Non","Mixte","Elevage","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Burkina Faso","Autre","Masculin","14-35","Non","En espèces","Autre","Moi et d'autres","Oui","Autre","1+","Non","Non",1
"High","Par téléphone","Burkina Faso","Autre","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Burkina Faso","Autre","Masculin","14-35","Non","En espèces","Elevage","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Burkina Faso","Lybie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Non",1
"High","Par téléphone","Burkina Faso","Lybie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Burkina Faso","Lybie","Masculin","14-35","Oui","En espèces","Agriculture/aviculture","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Burkina Faso","Lybie","Masculin","36+","Non","En espèces","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Burkina Faso","Lybie","Masculin","36+","Non","En espèces","Elevage","Moi uniquement","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Burkina Faso","Lybie","Masculin","36+","Non","En espèces","Elevage","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Burkina Faso","Niger","Masculin","14-35","Non","En espèces","Elevage","Moi uniquement","Non","Autre","0","Non","Non",1
"High","Par téléphone","Burkina Faso","Niger","Masculin","14-35","Non","En espèces","Elevage","Moi uniquement","Non","Non","0","Non","Non",1
"High","Par téléphone","Burkina Faso","Niger","Masculin","14-35","Non","En espèces","Elevage","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Burkina Faso","Niger","Masculin","14-35","Non","Mixte","Elevage","Moi uniquement","Oui","Non","0","Non","Non",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Féminin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Non",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Non","0","Non","Oui",1
