"ID_1","InterviewDate","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","MicroBusinessLevel","TrainingType","TrainingDuration","DateOfReturn","ReintegrationDate","Gender_Mimosa","AgeAtReferral_Mimosa","ReturnToReintegration"
"MA1020003543","2021-09-13","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","2","Non","En nature","Elevage","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2021/01/26 00:00:00","2021-05-11","Male",30,105
"CH5018X012725","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans","1","Non","En nature","Restauration","Moi avec des migrants de retour","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/05/15 00:00:00","2020-11-18","Male",28,918
"LY1020004288","2021-04-13","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Non","Individual","NULL","NULL","2020/08/20 00:00:00","2020-11-18","Male",35,90
"CH5018X01297","2021-04-14","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","6","Non","En nature","Commerce","Moi uniquement","Non","Oui","1","Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA,NA
"LY 1020004255","2021-04-14","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Autre","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Oui","1","Non","Oui",NA,NA,NA,NA,NA,NA,NA,NA
"LY1018003619","2021-04-15","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","16","Oui","En nature","Restauration","Moi uniquement","Non","Souhaite ne pas répondre",NA,"Oui Négativement","Oui","Individual","Other","32","2018/09/11 00:00:00","2022-11-10","Male",49,1521
"LY1020004206","2021-04-15","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","3","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/08/20 00:00:00","2020-10-20","Male",39,61
"LY1018001155","2021-04-15","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","3","Non","En nature","Elevage","Moi uniquement","Non","Oui","1","Non","Oui","Individual","Vocational training","1","2018/01/26 00:00:00","2020-11-20","Male",31,1029
"LY1018001164","2021-03-25","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Bâtiment/construction","Moi uniquement","Non","Oui","2","Oui Négativement","Oui","Individual","NULL","NULL","2018/01/26 00:00:00","2018-03-26","Male",25,59
"CH5017X019514","2021-04-16","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi uniquement","Non","Oui","3","Oui Négativement","Oui","Individual","NULL","NULL","2017/07/27 00:00:00","2017-11-17","Male",23,113
"NE1019X027816","2021-04-15","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans","0","Non","En nature","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/07/18 00:00:00","2018-07-20","Male",25,2
"LY1020004197","2021-04-16","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","1","Oui","En nature","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/08/20 00:00:00","2020-11-26","Male",30,98
"NE1021001206","2021-07-07","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Fermée","Oui","Non","Pire","Oui","Satisfait","Tchad","Algerie","Masculin","18-35 ans","12","Non","En nature","Autre","Moi avec des migrants de retour","Non","Non",NA,"Non","Non","Collective","NULL","NULL","2021/03/12 00:00:00","2021-05-10","Male",18,59
"NE1019X041068","2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","OK","Ghana","Niger","Masculin","18-35 ans","0","Non","En nature","Bâtiment/construction","Moi uniquement","Non","Oui","1","Oui Négativement","Oui","Collective","NULL","NULL","2019/07/24 00:00:00","2021-08-19","Male",32,757
"NE1019X064703","2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Partiellement","Satisfait","Ghana","Algerie","Masculin","18-35 ans","0","Non","En nature","Bâtiment/construction","Moi uniquement","Oui","Oui","3","Oui Positivement","Oui","Collective","NULL","NULL","2019/09/18 00:00:00","2021-08-19","Male",31,701
"NE1019X029757","2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans","0","Non","En nature","Artisan-Ouvrier","Moi uniquement","Non","Oui","4 et plus","Oui Négativement","Oui","Individual","NULL","NULL","2019/03/13 00:00:00","2019-06-21","Male",28,100
"CH5018X0008555","2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans",NA,"Oui","En nature","Artisan-Ouvrier","Moi uniquement","Non","Oui","1","Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA,NA
NA,"2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Oui régulièrement","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans","4","Non","En nature","Coiffure","Moi uniquement","Non","Oui","1","Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA,NA
"LY1018004053","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2018/10/24 00:00:00","2019-11-30","Male",21,402
"LY1018003661","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans","5","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Non","Collective","NULL","NULL","2018/10/24 00:00:00","2019-11-30","Male",35,402
"LY1018004055","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2018/10/24 00:00:00","2019-11-30","Male",23,402
"NE1019X021151X1","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36-65 ans","2","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","NULL","NULL","NULL","2018/05/18 00:00:00","2018-06-25","Male",33,38
"NE1019X021151X2","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Féminin","36-65 ans","2","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","NULL","NULL","NULL","2018/05/18 00:00:00","2018-06-25","Female",37,38
"CH5017X019519","2021-04-19","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Oui","2","Oui Négativement","Oui","Individual","NULL","NULL","2017/07/27 00:00:00","2021-08-31","Male",36,1496
"NE1019X066729","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/10/09 00:00:00","2020-04-01","Male",21,175
"NE1019X028010","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans","1","Non","En nature","Couture","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2018/10/23 00:00:00","2020-05-14","Male",33,569
"CH5017X032499","2021-04-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Bâtiment/construction","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2020-02-02","Male",23,795
"GHTH08485","2021-04-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","6","Non","En nature","Bâtiment/construction","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA,NA
"CH5017X032550","2021-04-05","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","6","Non","En nature","Bâtiment/construction","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2020-02-02","Male",30,795
"LY1020004376","2021-04-20","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Transport (Moto - Auto et autres)","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/08/20 00:00:00","2021-01-21","Male",28,154
"CH5017X032467","2021-04-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2019-08-01","Male",27,610
"CH5018X008525","2021-04-05","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","2","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2019-08-01","Male",32,506
