"MimosaID","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice"
"MA1020003543","2021-09-13","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","En nature","Elevage","Moi uniquement","Non","Non","0","Oui","Oui"
"CH5018X012725","2021-06-01","Par téléphone","High","High","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",1,"Non","En nature","Autre","Moi et d'autres","Non","Non","0","Non","Oui"
"LY1017002826","2021-04-01","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36+",5,"Oui","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui"
"LY1020004288","2021-04-13","Terrain/bureau OIM","High","Low","No","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",1,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Non"
"CH5018X01297","2021-04-14","Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",6,"Non","En nature","Commerce","Moi uniquement","Non","Autre","1","Oui","Oui"
"LY 1020004255","2021-04-14","Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"Non","En nature","Commerce","Moi uniquement","Non","Autre","1","Non","Oui"
"LY1018003619","2021-04-15","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"Oui","En nature","Autre","Moi uniquement","Non","Autre","0","Oui","Oui"
"LY1020004206","2021-04-15","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",3,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"LY1018003615","2021-04-15","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36+",2,"Oui","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"LY1018001155","2021-04-15","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",3,"Non","En nature","Elevage","Moi uniquement","Non","Autre","1","Non","Oui"
"LY1018001164","2021-03-25","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","En nature","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui"
"CH5017X019514","2021-04-16","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","En nature","Commerce","Moi uniquement","Non","Autre","1+","Oui","Oui"
"NE1019X027816","2021-04-15","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"Non","En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"LY1020004197","2021-04-16","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"Oui","En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1021001206","2021-07-07","Terrain/bureau OIM","Low","High","No","Pire","Oui","Satisfait","Autre","Algerie","Masculin","14-35",12,"Non","En nature","Autre","Moi et d'autres","Non","Non","0","Non","Non"
"NE1019X041068","2021-04-17","Terrain/bureau OIM","High","High","No","Pire","Oui","OK","Ghana","Niger","Masculin","14-35",0,"Non","En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui"
