"ID_1","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","MicroBusinessLevel","TrainingType","TrainingDuration","DateOfReturn","ReintegrationDate","ReturnToReintegration","AssistanceDuration"
"MA1020003543","2021-09-13","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans","2","Non","En nature","Elevage","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2021/01/26 00:00:00","2021-05-11",105,124.91666666666667
"CH5018X012725","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans","1","Non","En nature","Restauration","Moi avec des migrants de retour","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/05/15 00:00:00","2020-11-18",918,194.91666666666666
"LY1020004288","2021-04-13","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Non","Individual","NULL","NULL","2020/08/20 00:00:00","2020-11-18",90,145.91666666666666
"CH5018X01297","2021-04-14","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","6","Non","En nature","Commerce","Moi uniquement","Non","Oui","1","Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA
"LY 1020004255","2021-04-14","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Autre","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Oui","1","Non","Oui",NA,NA,NA,NA,NA,NA,NA
"LY1018003619","2021-04-15","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","16","Oui","En nature","Restauration","Moi uniquement","Non","Souhaite ne pas répondre",NA,"Oui Négativement","Oui","Individual","Other","32","2018/09/11 00:00:00","2022-11-10",1521,-574.0833333333334
"LY1020004206","2021-04-15","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","3","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/08/20 00:00:00","2020-10-20",61,176.91666666666666
"LY1018001155","2021-04-15","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","3","Non","En nature","Elevage","Moi uniquement","Non","Oui","1","Non","Oui","Individual","Vocational training","1","2018/01/26 00:00:00","2020-11-20",1029,145.91666666666666
"LY1018001164","2021-03-25","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Bâtiment/construction","Moi uniquement","Non","Oui","2","Oui Négativement","Oui","Individual","NULL","NULL","2018/01/26 00:00:00","2018-03-26",59,1094.9583333333333
"CH5017X019514","2021-04-16","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi uniquement","Non","Oui","3","Oui Négativement","Oui","Individual","NULL","NULL","2017/07/27 00:00:00","2017-11-17",113,1245.9166666666667
