"MimosaID","Project","InterviewDate","ReintegrationDate","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","TrainingType","TrainingStart","TrainingEnd","TimeToReceiveSupport","ReceivedSupportAs","BusinessType","BusinessMembers","MicroBusinessLevel","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","SupportDuration","TrainingDuration"
"MA1020003543","JI","2021/09/13 00:00:00","2021/05/11 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","None",NA,NA,20,"En nature","Elevage","Moi uniquement","Individual","Non","Non","0","Oui","Oui",125,0
"CH5018X012725","JI","2021/06/01 00:00:00","2020/11/18 00:00:00","Par téléphone","High","High","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",1,"Non","None",NA,NA,124,"En nature","Autre","Moi et d'autres","Individual","Non","Non","0","Non","Oui",195,0
"LY1017002826","JI","2021/04/01 00:00:00","2019/06/11 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36+",5,"Oui","None",NA,NA,162,"En nature","Autre","Moi uniquement","Individual","Non","Non","0","Oui","Oui",660,0
"LY1020004288","JI","2021/04/13 00:00:00","2020/11/18 00:00:00","Terrain/bureau OIM","High","Low","No","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",1,"Non","None",NA,NA,8,"En nature","Commerce","Moi uniquement","Unknown","Non","Non","0","Non","Non",146,0
"CH5018X01297","JI","2021/04/14 00:00:00",NA,"Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",6,"Non","None",NA,NA,20,"En nature","Commerce","Moi uniquement","Unknown","Non","Autre","1","Oui","Oui",120,0
"LY 1020004255","JI","2021/04/14 00:00:00",NA,"Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"Non","None",NA,NA,4,"En nature","Commerce","Moi uniquement","Unknown","Non","Autre","1","Non","Oui",120,0
"LY1018003619","JI","2021/04/15 00:00:00","2021/01/20 00:00:00","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"Oui","Other/Unknown","2022/10/10 00:00:00","2022/11/10 00:00:00",2,"En nature","Commerce","Moi uniquement","Individual","Non","Autre","0","Oui","Oui",85,31
"LY1020004206","JI","2021/04/15 00:00:00","2020/10/20 00:00:00","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",3,"Non","None",NA,NA,16,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Non","Oui",177,0
"LY1018003615","JI","2021/04/15 00:00:00","2020/11/23 00:00:00","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36+",2,"Oui","None",NA,NA,80,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Non","Oui",143,0
"LY1018001155","JI","2021/04/15 00:00:00","2020/11/20 00:00:00","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",3,"Non","Other/Unknown","2020/11/04 00:00:00","2020/11/04 00:00:00",120,"En nature","Agriculture/aviculture","Moi uniquement","Individual","Non","Autre","1","Non","Oui",146,0
"LY1018001164","JI","2021/03/25 00:00:00","2018/03/26 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","None",NA,NA,106,"En nature","Autre","Moi uniquement","Individual","Non","Autre","1+","Oui","Oui",1095,0
"CH5017X019514","JI","2021/04/16 00:00:00","2017/11/17 00:00:00","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","None",NA,NA,2,"En nature","Commerce","Moi uniquement","Individual","Non","Autre","1+","Oui","Oui",120,0
"NE1019X027816","JI","2021/04/15 00:00:00","2018/07/20 00:00:00","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"Non","None",NA,NA,52,"En nature","Elevage","Moi uniquement","Individual","Non","Non","0","Non","Oui",1000,0
"LY1020004197","JI","2021/04/16 00:00:00","2020/11/26 00:00:00","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"Oui","None",NA,NA,5,"En nature","Elevage","Moi uniquement","Individual","Non","Non","0","Non","Oui",141,0
"NE1021001206","JI","2021/07/07 00:00:00","2021/05/10 00:00:00","Terrain/bureau OIM","Low","High","No","Pire","Oui","Satisfait","Autre","Algerie","Masculin","14-35",12,"Non","None",NA,NA,14,"En nature","Commerce","Moi et d'autres","Not individual","Non","Non","0","Non","Non",58,0
"NE1019X041068","JI","2021/04/17 00:00:00","2021/08/19 00:00:00","Terrain/bureau OIM","High","High","No","Pire","Oui","OK","Ghana","Niger","Masculin","14-35",0,"Non","None",NA,NA,78,"En nature","Autre","Moi uniquement","Not individual","Non","Autre","1","Oui","Oui",120,0
"NE1019X064703","JI","2021/04/17 00:00:00","2021/08/19 00:00:00","Terrain/bureau OIM","High","High","No","Pire","Partiellement","Satisfait","Ghana","Algerie","Masculin","14-35",0,"Non","None",NA,NA,104,"En nature","Commerce","Moi uniquement","Not individual","Oui","Autre","1+","Oui","Oui",120,0
"NE1019X029757","JI","2021/04/17 00:00:00","2019/06/21 00:00:00","Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"Non","None",NA,NA,20,"En nature","Autre","Moi uniquement","Individual","Non","Autre","1+","Oui","Oui",666,0
"CH5018X0008555","JI","2021/04/17 00:00:00",NA,"Terrain/bureau OIM","Low","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",2,"Oui","None",NA,NA,52,"En nature","Autre","Moi uniquement","Unknown","Non","Autre","1","Oui","Oui",120,0
"Thomas Henneh","JI","2021/04/17 00:00:00",NA,"Terrain/bureau OIM","Low","Low","Yes","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",4,"Non","None",NA,NA,16,"En nature","Autre","Moi uniquement","Unknown","Non","Autre","1","Oui","Oui",120,0
"LY1018004053","JI","2021/04/01 00:00:00","2019/11/30 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","None",NA,NA,86,"En nature","Commerce","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",488,0
"LY1018003661","JI","2021/04/01 00:00:00","2019/11/30 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",5,"Non","None",NA,NA,86,"En nature","Commerce","Moi et d'autres","Not individual","Non","Non","0","Oui","Non",488,0
"LY1018004055","JI","2021/04/01 00:00:00","2019/11/30 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","None",NA,NA,86,"En nature","Commerce","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",488,0
"CH5017X019519","JI","2021/04/19 00:00:00","2019/08/06 00:00:00","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"Non","None",NA,NA,108,"En nature","Autre","Moi uniquement","Individual","Non","Autre","1+","Oui","Oui",622,0
"NE1019X066729","JI","2021/04/01 00:00:00","2020/04/01 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",1,"Non","None",NA,NA,26,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Oui","Oui",365,0
"NE1019X028010","JI","2021/04/01 00:00:00","2020/05/14 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",1,"Non","None",NA,NA,90,"En nature","Autre","Moi uniquement","Individual","Non","Non","0","Oui","Oui",322,0
"CH5017X032499","JI","2021/04/02 00:00:00","2020/02/02 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","None",NA,NA,150,"En nature","Commerce","Moi et d'autres","Not individual","Non","Non","0","Oui","Oui",425,0
