"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","FinancialServices","Training","SocialSupport","MaterialAssistance","MedicalSupport","PsychosocialSupport","MicrobusinessFormOfAssistance"
"AU1022001355",0.7499999999999999,0.77,0.615,0.7325,0,0,77,47,"Homme",37,"Autre","Autre","No","No","No","No","No","No","CAS"
"BF1022001030",0.58,0.7125000000000001,0.2825,0.54,16,4,190,174.5,"Femme",43,"Algérie","Autre","Yes","Yes","No","No","Yes","Yes","CAS"
"CH1022X000306",0.41500000000000004,0.6491666666666667,0.7175,0.6308333333333334,1,5,222,96,"Homme",23,"Niger","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000307",0.655,0.36666666666666664,0.8325,0.6433333333333333,2,5,222,114,"Homme",24,"Algérie","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000328",0.4475,0.5791666666666666,0.6825,0.5483333333333333,1,5,222,114,"Homme",26,"Niger","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000329",0.28500000000000003,0.3608333333333333,0.47750000000000004,0.35416666666666663,0,5,222,114,"Homme",28,"Niger","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000337",0.615,0.5041666666666667,0.8325,0.6333333333333334,0,5,222,114,"Homme",21,"Niger","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000546",0.7050000000000001,0.5291666666666667,0.8724999999999999,0.7033333333333335,1,3,127,186,"Homme",20,"Algérie","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH1022X000634",0.5025,0.37249999999999994,0.7150000000000001,0.555,1,0,46,260,"Homme",28,"Niger","Guinee Conakry","No","No","No","No","No","Yes","CAS"
"CH1022X000635",0.815,0.5566666666666666,0.8975,0.7683333333333335,0,0,106,200,"Homme",23,"Niger","Guinee Conakry","No","No","No","No","No","Yes","CAS, KND"
"CH1022X000640",0.675,0.5675000000000001,0.8,0.7025000000000001,3,0,197,115,"Homme",28,"Algérie","Guinee Conakry","No","No","No","No","No","No","CAS"
"CH1022X000654",0.73,0.5066666666666667,0.89,0.7008333333333335,2,0,104,209,"Homme",30,"Libye","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X000682",0.76,0.54,0.9874999999999999,0.7400000000000002,2,0,62,244,"Homme",28,"Algérie","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X001055",0.44999999999999996,0.3858333333333333,0.7025,0.5141666666666667,1,0,90,204,"Homme",22,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X001067",0.7925,0.6533333333333333,0.865,0.7791666666666668,1,0,103,181,"Homme",37,"Algérie","Guinee Conakry","No","No","No","No","No","Yes","CAS, KND"
