"ID_1","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","TrainingType","TrainingDuration","DateOfReturn","ReintegrationDate","ReturnToReintegration","AssistanceDuration"
"MA1020003543","2021-09-13","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",2,"En nature","Elevage","Moi uniquement","Non","Non","0","Oui","Oui","None",0,"2021/01/26 00:00:00","2021-05-11",105,125
"CH5018X012725","2021-06-01","Par téléphone","High","High","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",1,"En nature","Autre","Moi et d'autres","Non","Non","0","Non","Oui","None",0,"2018/05/15 00:00:00","2020-11-18",918,195
"LY1020004288","2021-04-13","Terrain/bureau OIM","High","Low","No","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",1,"En nature","Commerce","Moi uniquement","Non","Non","0","Non","Non","None",0,"2020/08/20 00:00:00","2020-11-18",90,146
"CH5018X01297","2021-04-14","Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",6,"En nature","Commerce","Moi uniquement","Non","Autre","1","Oui","Oui","None",0,NA,NA,214,112
"LY 1020004255","2021-04-14","Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"En nature","Commerce","Moi uniquement","Non","Autre","1","Non","Oui","None",0,NA,NA,214,112
"LY1018003619","2021-04-15","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"En nature","Autre","Moi uniquement","Non","Autre","0","Oui","Oui","Other",32,"2018/09/11 00:00:00","2022-11-10",1521,112
"LY1020004206","2021-04-15","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",3,"En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/08/20 00:00:00","2020-10-20",61,177
"LY1018001155","2021-04-15","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",3,"En nature","Elevage","Moi uniquement","Non","Autre","1","Non","Oui","Other",1,"2018/01/26 00:00:00","2020-11-20",1029,146
"LY1018001164","2021-03-25","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"En nature","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui","None",0,"2018/01/26 00:00:00","2018-03-26",59,1095
"CH5017X019514","2021-04-16","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"En nature","Commerce","Moi uniquement","Non","Autre","1+","Oui","Oui","None",0,"2017/07/27 00:00:00","2017-11-17",113,112
