ID_1,count
CH5017X029301,2
CH5017X029302,2
CH5018X008561,3
DZ1021003884,4
DZ1021004350,2
EG1020001001,2
LY1017002826,3
LY1018003615,2
LY1019002074,4
LY1019005427,3
LY1019009209,2
LY1020005937,4
LY1020005982,4
LY1021006171,7
LY1021006863,2
LY1021007548,2
LY1021007767,3
LY1021008663,2
LY1021008993,2
LY1021010520,3
LY1021010615,3
LY1021011159,3
LY1021011513,2
LY1022001492,4
LY1022002734,2
LY1022004031,4
LY1022004033,2
MA1017002391,3
MA1018001175,2
MA1019001113,2
MA1019001234,3
MA1019002188,2
MA1020003273,2
MA1020003524,4
MA1020003929,2
MA1021001274,2
MA1021001348,2
MA1021001608,3
MA1021001859,2
MA1021001930,2
MA1021002702,2
MA1021002825,2
MA1021003343,2
MA1021003397,3
MA1021003875,2
MA1021003939,2
MA1021004177,2
ML1019X004589,2
MR1020002212,2
MR1020002251,2
MR1020X000871,4
MR1021001601,4
MR1022001155,3
MR1022001186,2
NE1018001196,2
NE1018001888,3
NE1018004403,4
NE1019002475,3
NE1019002484,3
NE1019X071222,3
NE1020X006991,5
NE1020X020753,3
NE1021X051030,5
NE1022X002609,5
SN1020001566,2
TD1021001049,2
TD1021001245,2
TD1021001356,5
TD1021001444,2
TD1021001618,2
TD1022001065,9
TD1022001219,3
TN1018001384,3
TN1020001880,2
TN1021002294,2
