ID_1,Date de l'enquête,Mode d'enquête,Comment se porte votre entreprise ou business actuellement ?,L’entreprise vous permet -elle de gagner assez d’argent pour subvenir à vos besoins et à celle de votre famille ?,Avez-vous déjà planifié de migrer de nouveau ?,Si vous n’aviez pas bénéficié de l’aide de l’OIM pour votre réintégration économique quelle serait votre situation actuelle ?,Pensez-vous que le retour a été une bonne décision ?,Êtes-vous satisfait de l’aide à la réintégration de manière globale ?,Pays,Pays d’où le migrant est de retour :,Sexe,Age (l'enquête est destinée aux personnes agées de 14 ans et plus),Durée de l’absence du pays d’origine   Mettre 0 si moins d'un an,Situation de handicap,Par quel moyen avez-vous reçu cette assistance économique ?,Type de business bis,Qui sont les membres de cette entreprise ?,L'OIM   ou un de ses partenaires vous a-t-elle formé sur la façon de gérer une entreprise ?,L’entreprise emploie-t-elle du personnel ?,"Si oui, combien des personnes sont employées par votre entreprise ?",Est-ce votre entreprise a été affectée par la maladie de Coronavirus ?,Est-ce que le type d'assistance économique que vous avez reçu correspondait à votre premier choix ?,Niveau microbusiness,Type de formation,Duree formation,ArrivalDate_Mimosa,Date de reception de la reintegration,Gender_Mimosa,AgeAtReferral_Mimosa
LY1017002826,2021-04-01,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,5,Oui,En nature,Coiffure,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,Individual,NA,NA,2017-11-29T00:00:00Z,2019-06-11T00:00:00Z,Female,33
LY1017002826,2021-04-01,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,5,Oui,En nature,Coiffure,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,2017-11-29T00:00:00Z,2019-09-10T00:00:00Z,Female,4
LY1017002826,2021-04-01,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,5,Oui,En nature,Coiffure,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,2017-11-29T00:00:00Z,2019-09-10T00:00:00Z,Female,1
LY1018003615,2021-04-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,2,Oui,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,2018-09-11T00:00:00Z,2020-02-14T00:00:00Z,Female,7
LY1018003615,2021-04-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,2,Oui,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,Individual,NA,NA,2018-09-11T00:00:00Z,2020-11-23T00:00:00Z,Male,27
NA,2021-04-17,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Oui,Satisfait,Ghana,Lybie,Masculin,36-65 ans,4,Non,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
CH5018X008561,2021-04-23,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,8,Oui,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,NA,NA,NA,2018-03-13T00:00:00Z,2018-05-17T00:00:00Z,Female,11
CH5018X008561,2021-04-23,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,8,Oui,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,NA,NA,NA,2018-03-13T00:00:00Z,2018-05-17T00:00:00Z,Female,2
CH5018X008561,2021-04-23,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,8,Oui,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,Individual,NA,NA,2018-03-13T00:00:00Z,2019-03-11T00:00:00Z,Female,36
NA,2021-05-28,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Non,Satisfait,Côte D'Ivoire,Niger,Masculin,18-35 ans,1,Non,En espèces,Commerce,Moi avec des migrants de retour et des membres d’une communauté,Non,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA
