ID_1,InterviewDate,InterviewType,BusinessSucess,BusinessProfitability,WouldMigrateAgain,SituationWithoutSupport,ReturningWasGoodDecision,SatisfiedWithReintegrationSupport,Country,CountryOfReturn,Gender,AgeGroup,MigrationDuration,Disabled,ReceivedSupportAs,BusinessType,BusinessMembers,ReceivedIOMBusinessAdvice,BusinessHasEmployees,EmployeeNumber,CoronaImpactOnBusiness,FirstChoice,MicroBusinessLevel,TrainingType,TrainingDuration,DateOfReturn,ReintegrationDate,Gender_Mimosa,AgeAtReferral_Mimosa,ReturnToReintegration
LY1017002826,2021-04-01,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,5,Oui,En nature,Coiffure,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,Individual,NA,NA,2017-11-29T00:00:00Z,2019-06-11T00:00:00Z,Female,33,559
LY1017002826,2021-04-01,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,5,Oui,En nature,Coiffure,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,2017-11-29T00:00:00Z,2019-09-10T00:00:00Z,Female,4,650
LY1017002826,2021-04-01,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,5,Oui,En nature,Coiffure,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,2017-11-29T00:00:00Z,2019-09-10T00:00:00Z,Female,1,650
LY1018003615,2021-04-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,2,Oui,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,2018-09-11T00:00:00Z,2020-02-14T00:00:00Z,Female,7,521
LY1018003615,2021-04-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,2,Oui,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,Individual,NA,NA,2018-09-11T00:00:00Z,2020-11-23T00:00:00Z,Male,27,804
NA,2021-04-17,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Oui,Satisfait,Ghana,Lybie,Masculin,36-65 ans,4,Non,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA,NA
CH5018X008561,2021-04-23,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,8,Oui,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,NA,NA,NA,2018-03-13T00:00:00Z,2018-05-17T00:00:00Z,Female,11,65
CH5018X008561,2021-04-23,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,8,Oui,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,NA,NA,NA,2018-03-13T00:00:00Z,2018-05-17T00:00:00Z,Female,2,65
CH5018X008561,2021-04-23,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Féminin,36-65 ans,8,Oui,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,Individual,NA,NA,2018-03-13T00:00:00Z,2019-03-11T00:00:00Z,Female,36,363
NA,2021-05-28,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Non,Satisfait,Côte D'Ivoire,Niger,Masculin,18-35 ans,1,Non,En espèces,Commerce,Moi avec des migrants de retour et des membres d’une communauté,Non,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
