"Project","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","TrainingType","TimeToReceiveSupport","ReceivedSupportAs","AssistanceType","BusinessType","BusinessMembers","MicroBusinessLevel","SupportTotalValue","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","18-35 ans",2,"Non",NA,20,"En nature","Micro Business","Elevage","Moi uniquement","Individual",500000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans",1,"Non",NA,124,"En nature","Micro Business","Autre","Moi avec des migrants de retour","Individual",8992,"Non","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36-65 ans",5,"Oui",NA,162,"En nature","Micro Business","Coiffure - Salon de beauté","Moi uniquement","Individual",NA,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",1,"Non",NA,8,"En nature","Micro Business","Commerce","Moi uniquement",NA,NA,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",6,"Non",NA,20,"En nature","Micro Business","Commerce","Moi uniquement",NA,NA,"Non","Oui","1","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",1,"Non",NA,4,"En nature","Micro Business","Commerce","Moi uniquement",NA,NA,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",16,"Oui","Other",2,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Non","Souhaite ne pas répondre",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",3,"Non",NA,16,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36-65 ans",2,"Oui",NA,80,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",3,"Non","Vocational training",120,"En nature","Micro Business","Aviculture","Moi uniquement","Individual",NA,"Non","Oui","1","Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",3,"Non",NA,106,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",NA,"Non","Oui","2","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",3,"Non",NA,2,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Non","Oui","3","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans",0,"Non",NA,52,"En nature","Micro Business","Elevage","Moi uniquement","Individual",NA,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",1,"Oui",NA,5,"En nature","Micro Business","Elevage","Moi uniquement","Individual",NA,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","High","Non","Pire","Oui","Satisfait","Tchad","Algerie","Masculin","18-35 ans",12,"Non",NA,14,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",3000000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","OK","Ghana","Niger","Masculin","18-35 ans",0,"Non",NA,78,"En nature","Micro Business","Bâtiment/construction","Moi uniquement","Collective",0,"Non","Oui","1","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Partiellement","Satisfait","Ghana","Algerie","Masculin","18-35 ans",0,"Non",NA,104,"En nature","Micro Business","Commerce","Moi uniquement","Collective",0,"Oui","Oui","3","Oui Positivement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans",0,"Non",NA,20,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",6700,"Non","Oui","4 et plus","Oui Négativement"
